,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Accuracy at Rim,Accuracy on Short Midrange,Accuracy on Long Midrange,Accuracy on All Midrange,Accuracy on Corner Threes,Accuracy on Non Corner Threes,Accuracy on All Threes,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play,Frequency Rim,Frequency Short Midrange,Frequency Long Midrange,Frequency all Midrange,Frequency Corner Threes,Frequency Non Corner Threes,Frequency All Threes
59,Utah,102.9,0.487,0.159,0.28,20.1,112.2,0.523,0.136,0.277,23.0,2014,Utah 2014,0.487,0.504,0.62,0.373,0.37,0.371,0.394,0.338,0.352,84.2,0.282,0.817,19.6,16.4,116.4,3.3,0.124,126.6,1.6,0.595,138.6,1.7,0.235,120.4,0.355,0.2,0.23,0.43,0.056,0.159,0.215
60,Milwaukee,101.9,0.48,0.163,0.3,20.2,112.0,0.524,0.153,0.306,22.8,2014,Milwaukee 2014,0.48,0.509,0.563,0.364,0.392,0.38,0.365,0.356,0.358,83.7,0.3,0.801,18.1,17.8,98.5,3.3,0.139,121.9,1.8,0.628,139.9,1.5,0.294,113.4,0.386,0.181,0.224,0.405,0.042,0.168,0.21
61,Philadelphia,99.4,0.477,0.169,0.28,18.6,111.1,0.529,0.169,0.304,24.9,2014,Philadelphia 2014,0.478,0.524,0.568,0.365,0.376,0.37,0.33,0.316,0.319,82.0,0.272,0.762,18.3,17.6,100.7,3.0,0.182,115.5,2.4,0.671,140.1,0.6,0.377,103.0,0.44,0.184,0.142,0.326,0.049,0.185,0.234
62,Average,105.8,0.498,0.152,0.28,20.6,105.8,0.498,0.152,0.28,20.6,2015,Average 2015,0.498,0.503,0.6,0.392,0.398,0.395,0.386,0.346,0.357,88.0,0.284,0.805,18.5,16.7,107.5,3.4,0.14,123.4,1.8,0.575,137.4,1.5,0.262,116.4,0.358,0.186,0.212,0.398,0.066,0.178,0.244
63,Golden State,112.5,0.546,0.146,0.261,18.2,100.4,0.469,0.165,0.284,21.7,2015,Golden State 2015,0.546,0.506,0.651,0.399,0.405,0.402,0.454,0.393,0.407,94.6,0.267,0.767,18.9,17.3,106.2,5.4,0.183,130.6,2.4,0.624,140.2,2.9,0.333,126.5,0.345,0.182,0.182,0.364,0.07,0.222,0.291
64,LA Clippers,113.2,0.536,0.128,0.262,21.9,105.4,0.497,0.151,0.269,22.9,2015,LA Clippers 2015,0.536,0.5,0.653,0.422,0.442,0.435,0.391,0.373,0.378,95.5,0.278,0.799,18.9,16.2,114.6,3.8,0.148,126.6,1.5,0.536,134.3,2.1,0.276,122.8,0.307,0.141,0.256,0.397,0.084,0.212,0.296
65,San Antonio,108.8,0.522,0.148,0.258,20.2,101.8,0.486,0.152,0.259,19.3,2015,San Antonio 2015,0.522,0.5,0.622,0.445,0.399,0.425,0.425,0.351,0.374,95.2,0.263,0.836,13.5,13.0,102.7,1.9,0.123,113.3,1.4,0.498,126.5,0.6,0.219,106.3,0.343,0.23,0.18,0.41,0.074,0.173,0.247
66,Atlanta,109.4,0.53,0.15,0.252,20.3,103.2,0.495,0.171,0.288,18.5,2015,Atlanta 2015,0.53,0.51,0.606,0.396,0.438,0.417,0.429,0.37,0.387,93.0,0.257,0.813,14.8,12.8,113.1,3.7,0.147,125.1,2.1,0.58,139.0,1.5,0.255,117.0,0.355,0.174,0.174,0.348,0.085,0.213,0.297
67,Cleveland,111.4,0.522,0.153,0.301,21.8,106.0,0.504,0.145,0.274,17.6,2015,Cleveland 2015,0.522,0.512,0.618,0.372,0.427,0.398,0.374,0.372,0.373,92.6,0.316,0.802,18.6,17.7,102.2,3.9,0.145,126.4,2.0,0.579,141.1,1.9,0.279,119.0,0.362,0.178,0.158,0.337,0.092,0.21,0.301
68,Portland,108.9,0.512,0.142,0.27,18.3,104.2,0.48,0.127,0.261,18.0,2015,Portland 2015,0.512,0.499,0.623,0.415,0.402,0.408,0.388,0.359,0.367,92.1,0.275,0.814,20.2,16.9,116.5,1.9,0.13,113.9,1.4,0.594,134.0,0.5,0.238,104.7,0.308,0.165,0.233,0.399,0.078,0.216,0.294
69,Houston,107.6,0.516,0.171,0.294,22.5,103.7,0.49,0.169,0.302,20.8,2015,Houston 2015,0.516,0.525,0.603,0.4,0.328,0.376,0.395,0.334,0.355,88.5,0.287,0.759,16.7,16.4,99.2,4.9,0.193,121.7,2.7,0.669,137.1,2.2,0.371,114.0,0.385,0.176,0.083,0.26,0.122,0.233,0.356
70,Memphis,105.9,0.491,0.143,0.277,21.4,102.1,0.494,0.164,0.27,18.4,2015,Memphis 2015,0.491,0.494,0.609,0.407,0.389,0.398,0.387,0.333,0.348,88.4,0.275,0.821,17.2,15.9,105.7,3.5,0.12,128.8,2.1,0.536,139.5,1.3,0.199,119.8,0.37,0.245,0.22,0.464,0.046,0.119,0.165
71,Toronto,111.3,0.511,0.138,0.286,23.2,107.8,0.508,0.156,0.3,20.8,2015,Toronto 2015,0.511,0.5,0.622,0.437,0.387,0.413,0.404,0.337,0.356,93.3,0.3,0.818,20.2,16.9,116.5,2.9,0.13,122.2,1.6,0.545,132.9,1.3,0.252,116.5,0.322,0.212,0.189,0.4,0.078,0.2,0.277
72,Chicago,107.5,0.491,0.149,0.299,23.9,104.4,0.476,0.129,0.281,18.1,2015,Chicago 2015,0.491,0.507,0.56,0.398,0.392,0.395,0.394,0.35,0.36,88.8,0.298,0.805,20.5,18.8,105.5,3.5,0.123,127.9,1.6,0.574,139.8,1.9,0.23,122.4,0.382,0.177,0.198,0.375,0.056,0.188,0.243
73,Oklahoma City,107.9,0.495,0.153,0.314,21.7,105.0,0.489,0.142,0.264,21.4,2015,Oklahoma City 2015,0.495,0.505,0.589,0.408,0.394,0.4,0.386,0.332,0.346,86.7,0.314,0.772,21.3,19.7,104.8,4.6,0.167,127.2,2.1,0.596,145.4,2.5,0.324,121.0,0.373,0.177,0.213,0.39,0.061,0.176,0.237
74,Dallas,109.2,0.515,0.135,0.26,19.9,106.3,0.507,0.169,0.306,20.5,2015,Dallas 2015,0.515,0.504,0.628,0.399,0.42,0.411,0.387,0.344,0.354,92.0,0.26,0.806,17.4,15.0,113.3,3.7,0.144,124.0,2.0,0.576,139.1,1.4,0.273,113.4,0.349,0.162,0.219,0.381,0.064,0.206,0.27
75,New Orleans,108.3,0.503,0.143,0.298,19.8,107.5,0.499,0.132,0.274,19.6,2015,New Orleans 2015,0.503,0.511,0.565,0.402,0.399,0.4,0.41,0.364,0.376,90.7,0.31,0.816,19.4,18.1,105.1,2.6,0.122,120.4,1.6,0.551,139.6,1.1,0.233,111.3,0.424,0.16,0.205,0.366,0.054,0.156,0.21
76,Milwaukee,102.9,0.501,0.175,0.279,19.5,102.2,0.49,0.182,0.298,22.5,2015,Milwaukee 2015,0.501,0.506,0.586,0.383,0.406,0.397,0.398,0.358,0.372,85.2,0.275,0.798,16.5,16.0,100.4,4.1,0.158,126.2,2.7,0.632,142.4,1.3,0.272,115.2,0.398,0.161,0.236,0.397,0.069,0.135,0.205
77,Washington,104.2,0.501,0.159,0.275,19.3,103.6,0.485,0.148,0.265,20.6,2015,Washington 2015,0.501,0.493,0.636,0.39,0.395,0.393,0.371,0.366,0.368,86.2,0.288,0.8,15.5,14.7,103.4,4.3,0.157,127.9,1.7,0.58,137.1,2.6,0.304,124.6,0.346,0.184,0.284,0.468,0.055,0.13,0.185
78,Indiana,103.8,0.486,0.149,0.274,20.3,103.4,0.481,0.136,0.253,21.8,2015,Indiana 2015,0.486,0.491,0.576,0.397,0.412,0.406,0.381,0.35,0.359,86.4,0.278,0.831,16.8,15.3,107.2,2.9,0.118,126.5,1.2,0.504,135.2,1.8,0.227,124.1,0.309,0.206,0.253,0.46,0.065,0.167,0.231
79,Utah,105.5,0.496,0.17,0.319,21.7,105.6,0.495,0.144,0.272,19.9,2015,Utah 2015,0.496,0.508,0.627,0.354,0.368,0.361,0.374,0.341,0.35,84.1,0.327,0.811,23.9,19.4,119.6,3.7,0.122,130.5,2.0,0.573,140.2,1.7,0.207,123.5,0.385,0.176,0.195,0.371,0.071,0.173,0.244
80,Boston,104.8,0.491,0.142,0.276,17.6,105.0,0.497,0.156,0.278,20.9,2015,Boston 2015,0.491,0.501,0.598,0.393,0.414,0.406,0.372,0.321,0.332,86.7,0.274,0.794,19.2,16.7,111.8,3.0,0.149,118.6,1.5,0.596,126.3,1.5,0.277,114.2,0.345,0.164,0.233,0.397,0.057,0.201,0.258
81,Phoenix,105.5,0.506,0.156,0.264,19.3,105.7,0.499,0.16,0.29,22.2,2015,Phoenix 2015,0.506,0.505,0.622,0.392,0.401,0.397,0.362,0.344,0.35,87.5,0.272,0.763,17.9,16.5,105.8,4.4,0.184,123.7,2.7,0.665,144.1,1.8,0.362,114.8,0.353,0.175,0.205,0.38,0.083,0.184,0.267
82,Detroit,105.1,0.483,0.143,0.303,18.5,106.8,0.505,0.149,0.275,19.4,2015,Detroit 2015,0.483,0.512,0.569,0.346,0.391,0.366,0.384,0.336,0.348,84.6,0.311,0.782,21.8,19.6,108.0,3.9,0.149,126.2,1.6,0.595,130.6,2.4,0.289,124.5,0.391,0.193,0.152,0.346,0.069,0.195,0.264
83,Miami,104.3,0.503,0.163,0.267,22.8,106.9,0.508,0.163,0.299,21.5,2015,Miami 2015,0.503,0.502,0.615,0.42,0.4,0.409,0.376,0.329,0.345,88.2,0.277,0.826,17.2,14.9,113.1,3.0,0.122,123.2,1.7,0.54,132.5,1.4,0.222,117.4,0.355,0.187,0.225,0.411,0.079,0.154,0.233
84,Brooklyn,104.6,0.494,0.147,0.265,19.9,107.4,0.508,0.147,0.284,18.6,2015,Brooklyn 2015,0.494,0.495,0.591,0.438,0.402,0.422,0.378,0.323,0.34,89.2,0.269,0.832,17.0,16.3,101.7,2.2,0.111,119.9,1.0,0.519,125.3,1.2,0.202,117.9,0.336,0.252,0.194,0.446,0.066,0.152,0.218
85,Charlotte,100.8,0.459,0.125,0.257,20.3,103.6,0.488,0.134,0.24,19.0,2015,Charlotte 2015,0.459,0.489,0.551,0.389,0.392,0.391,0.39,0.312,0.327,85.0,0.259,0.844,14.2,13.2,105.3,2.2,0.103,117.3,1.2,0.478,133.0,1.0,0.192,110.7,0.326,0.193,0.279,0.472,0.038,0.164,0.202
86,Denver,104.6,0.484,0.146,0.29,20.3,108.7,0.507,0.147,0.285,23.9,2015,Denver 2015,0.484,0.508,0.59,0.359,0.393,0.377,0.344,0.331,0.334,85.2,0.29,0.776,20.2,18.8,104.2,4.1,0.165,124.0,2.3,0.659,142.7,1.6,0.325,114.3,0.378,0.176,0.187,0.363,0.064,0.195,0.259
87,Sacramento,104.9,0.491,0.17,0.299,27.8,109.3,0.509,0.135,0.273,20.2,2015,Sacramento 2015,0.491,0.503,0.603,0.366,0.403,0.385,0.369,0.342,0.351,86.0,0.302,0.796,21.9,19.4,108.7,3.5,0.141,125.9,1.9,0.61,144.9,1.7,0.277,118.1,0.402,0.207,0.212,0.419,0.057,0.122,0.179
88,Orlando,101.7,0.496,0.158,0.256,16.9,108.2,0.516,0.153,0.271,21.3,2015,Orlando 2015,0.496,0.503,0.59,0.393,0.408,0.401,0.369,0.346,0.353,85.5,0.256,0.825,19.5,17.1,110.8,2.7,0.115,124.1,2.0,0.549,141.7,0.8,0.199,112.3,0.379,0.205,0.2,0.406,0.06,0.156,0.216
89,LA Lakers,102.5,0.472,0.14,0.277,20.0,111.2,0.521,0.135,0.269,23.3,2015,LA Lakers 2015,0.472,0.492,0.607,0.371,0.362,0.366,0.39,0.334,0.345,83.7,0.282,0.813,19.9,17.6,110.2,3.1,0.125,124.5,2.4,0.562,153.3,0.8,0.24,110.6,0.338,0.176,0.284,0.46,0.039,0.163,0.202
90,Philadelphia,95.6,0.461,0.184,0.281,19.4,105.6,0.501,0.174,0.302,22.9,2015,Philadelphia 2015,0.461,0.518,0.559,0.309,0.33,0.319,0.348,0.323,0.328,77.0,0.281,0.79,18.1,17.3,101.7,2.7,0.156,116.0,1.9,0.561,131.6,1.0,0.302,108.8,0.411,0.158,0.143,0.301,0.056,0.232,0.288
91,Minnesota,102.0,0.467,0.158,0.297,24.0,112.7,0.539,0.158,0.307,18.8,2015,Minnesota 2015,0.467,0.49,0.596,0.365,0.379,0.373,0.36,0.332,0.338,83.3,0.3,0.801,19.6,18.0,105.2,3.0,0.138,121.3,1.9,0.604,135.3,1.1,0.271,113.2,0.358,0.207,0.278,0.485,0.036,0.121,0.157
92,New York,99.6,0.473,0.161,0.272,17.9,110.6,0.515,0.151,0.3,23.7,2015,New York 2015,0.473,0.489,0.559,0.373,0.407,0.395,0.354,0.357,0.357,84.3,0.274,0.844,16.2,15.3,103.1,1.3,0.104,111.1,1.0,0.476,126.6,0.3,0.201,102.2,0.309,0.176,0.295,0.472,0.044,0.176,0.22
93,Average,106.6,0.505,0.149,0.266,21.0,106.6,0.505,0.149,0.266,21.0,2016,Average 2016,0.505,0.509,0.603,0.399,0.401,0.4,0.377,0.354,0.36,89.8,0.27,0.811,17.4,15.9,106.6,3.1,0.137,123.3,1.7,0.558,137.7,1.3,0.254,116.0,0.359,0.184,0.197,0.382,0.069,0.191,0.259
94,San Antonio,110.6,0.529,0.14,0.251,19.8,98.9,0.48,0.159,0.242,18.2,2016,San Antonio 2016,0.529,0.493,0.649,0.445,0.429,0.436,0.382,0.386,0.385,96.1,0.256,0.845,17.5,14.6,118.3,1.9,0.111,118.3,1.2,0.429,132.3,0.8,0.193,111.0,0.316,0.221,0.257,0.478,0.062,0.144,0.206
95,Golden State,114.9,0.565,0.151,0.255,19.1,103.2,0.48,0.145,0.267,20.6,2016,Golden State 2016,0.565,0.52,0.639,0.392,0.428,0.41,0.417,0.421,0.42,100.2,0.255,0.785,16.8,16.2,100.4,3.8,0.17,124.5,1.4,0.571,130.5,2.3,0.318,121.8,0.362,0.157,0.145,0.302,0.082,0.254,0.336
96,Oklahoma City,113.8,0.528,0.162,0.337,23.4,105.7,0.487,0.134,0.269,20.3,2016,Oklahoma City 2016,0.528,0.515,0.608,0.449,0.441,0.444,0.357,0.358,0.357,92.4,0.345,0.78,21.8,19.7,107.0,4.8,0.166,128.8,1.9,0.61,139.5,3.1,0.32,126.4,0.394,0.168,0.19,0.358,0.077,0.172,0.248
97,Cleveland,112.0,0.528,0.144,0.283,19.4,104.6,0.499,0.142,0.243,20.3,2016,Cleveland 2016,0.528,0.513,0.639,0.398,0.431,0.413,0.391,0.355,0.365,93.6,0.299,0.82,15.7,15.0,102.7,3.8,0.137,129.3,2.2,0.539,156.9,1.6,0.264,117.4,0.334,0.185,0.157,0.341,0.09,0.235,0.325
98,Toronto,110.4,0.507,0.141,0.286,25.4,105.4,0.499,0.142,0.253,20.2,2016,Toronto 2016,0.508,0.508,0.596,0.402,0.382,0.393,0.409,0.364,0.378,92.8,0.296,0.829,15.5,15.8,95.8,3.7,0.114,131.2,2.2,0.519,150.8,1.4,0.193,118.1,0.353,0.205,0.185,0.39,0.08,0.178,0.257
99,LA Clippers,108.5,0.527,0.134,0.224,22.4,103.7,0.483,0.159,0.291,22.3,2016,LA Clippers 2016,0.527,0.504,0.654,0.412,0.42,0.417,0.417,0.355,0.371,94.6,0.238,0.812,14.2,13.4,104.5,2.4,0.136,118.0,1.1,0.515,121.3,1.2,0.242,116.3,0.309,0.139,0.255,0.394,0.075,0.221,0.296
100,Atlanta,105.3,0.518,0.154,0.222,18.8,102.1,0.482,0.167,0.291,19.5,2016,Atlanta 2016,0.518,0.52,0.6,0.39,0.428,0.41,0.361,0.352,0.354,90.2,0.225,0.813,12.3,11.5,105.1,3.9,0.151,127.5,2.3,0.54,146.1,1.6,0.276,118.5,0.38,0.146,0.163,0.309,0.077,0.233,0.31
101,Boston,106.8,0.491,0.138,0.278,20.7,103.8,0.491,0.167,0.281,23.4,2016,Boston 2016,0.492,0.513,0.603,0.367,0.38,0.374,0.349,0.336,0.339,88.1,0.281,0.783,18.0,16.7,105.3,4.0,0.163,126.4,2.3,0.608,140.5,1.7,0.307,118.5,0.373,0.171,0.185,0.356,0.066,0.204,0.27
102,Charlotte,107.6,0.502,0.13,0.23,22.0,104.6,0.497,0.139,0.234,19.2,2016,Charlotte 2016,0.502,0.51,0.583,0.396,0.397,0.397,0.407,0.352,0.362,91.5,0.235,0.832,14.5,13.3,107.0,3.6,0.119,131.8,1.8,0.515,143.8,1.8,0.214,126.1,0.328,0.165,0.185,0.35,0.057,0.265,0.322
103,Miami,106.6,0.507,0.15,0.268,21.1,104.3,0.488,0.138,0.257,19.6,2016,Miami 2016,0.507,0.503,0.652,0.398,0.401,0.399,0.351,0.331,0.339,90.1,0.275,0.816,19.5,17.0,112.3,3.0,0.125,125.1,1.6,0.538,141.6,1.4,0.231,117.1,0.368,0.209,0.226,0.436,0.078,0.118,0.197
104,Indiana,104.7,0.498,0.152,0.258,20.7,102.9,0.492,0.163,0.273,20.7,2016,Indiana 2016,0.497,0.502,0.615,0.421,0.374,0.392,0.393,0.342,0.357,86.9,0.265,0.809,17.6,14.8,116.6,3.3,0.144,124.2,2.2,0.59,141.0,1.0,0.247,112.1,0.333,0.166,0.254,0.419,0.073,0.174,0.247
105,Utah,106.0,0.504,0.162,0.288,21.3,104.3,0.498,0.151,0.255,21.0,2016,Utah 2016,0.504,0.511,0.603,0.396,0.389,0.393,0.395,0.344,0.361,88.8,0.305,0.844,18.1,15.8,112.0,2.0,0.103,121.6,1.8,0.537,141.4,0.2,0.156,105.0,0.356,0.209,0.164,0.373,0.089,0.182,0.271
106,Detroit,106.7,0.496,0.141,0.296,19.8,105.3,0.504,0.14,0.237,19.6,2016,Detroit 2016,0.496,0.51,0.588,0.383,0.403,0.391,0.367,0.351,0.356,88.1,0.298,0.794,20.6,19.2,103.4,2.7,0.137,119.4,1.0,0.51,126.0,1.7,0.276,116.3,0.353,0.22,0.153,0.373,0.076,0.198,0.274
107,Portland,109.0,0.515,0.151,0.283,20.3,108.1,0.506,0.136,0.26,22.5,2016,Portland 2016,0.516,0.514,0.578,0.395,0.426,0.413,0.394,0.372,0.378,91.4,0.287,0.813,19.5,17.2,110.7,2.9,0.13,122.3,1.6,0.573,139.6,1.2,0.246,114.0,0.351,0.15,0.194,0.344,0.078,0.227,0.305
108,Houston,108.5,0.52,0.163,0.283,24.5,108.3,0.518,0.169,0.296,21.8,2016,Houston 2016,0.52,0.529,0.611,0.38,0.386,0.382,0.358,0.353,0.355,88.6,0.296,0.761,20.7,18.4,109.6,4.9,0.184,126.5,2.3,0.637,134.9,2.6,0.355,122.7,0.401,0.163,0.102,0.265,0.108,0.226,0.335
109,Dallas,106.9,0.507,0.133,0.226,20.9,107.1,0.507,0.146,0.266,19.8,2016,Dallas 2016,0.507,0.504,0.621,0.403,0.413,0.408,0.398,0.341,0.354,92.9,0.234,0.85,13.0,12.8,100.0,2.4,0.102,124.7,1.3,0.475,134.6,1.1,0.182,119.0,0.302,0.185,0.202,0.386,0.071,0.241,0.312
110,Washington,105.7,0.515,0.147,0.236,19.2,106.1,0.518,0.165,0.252,21.7,2016,Washington 2016,0.515,0.507,0.624,0.42,0.403,0.41,0.381,0.359,0.365,90.5,0.229,0.794,12.8,12.3,102.0,3.9,0.17,122.1,1.7,0.626,130.6,2.2,0.329,119.1,0.35,0.165,0.228,0.393,0.068,0.188,0.257
111,Orlando,105.8,0.506,0.145,0.26,17.3,107.0,0.516,0.156,0.259,21.7,2016,Orlando 2016,0.506,0.503,0.602,0.409,0.415,0.413,0.372,0.359,0.363,89.4,0.257,0.808,17.6,16.5,103.8,3.4,0.133,126.0,2.3,0.549,147.4,1.2,0.244,114.0,0.351,0.184,0.232,0.417,0.06,0.173,0.232
112,Chicago,105.1,0.488,0.144,0.277,19.2,106.8,0.489,0.123,0.275,18.2,2016,Chicago 2016,0.488,0.503,0.555,0.384,0.404,0.395,0.396,0.372,0.378,88.9,0.281,0.824,18.3,17.3,102.6,1.8,0.114,117.8,1.0,0.496,131.6,0.8,0.222,111.8,0.354,0.192,0.229,0.421,0.053,0.171,0.225
113,Memphis,105.8,0.48,0.142,0.285,23.4,107.6,0.521,0.173,0.276,25.0,2016,Memphis 2016,0.48,0.506,0.564,0.392,0.401,0.396,0.32,0.35,0.341,87.3,0.285,0.813,20.1,18.4,105.4,2.7,0.121,123.1,1.8,0.53,138.2,0.9,0.208,112.6,0.388,0.213,0.203,0.416,0.057,0.139,0.197
114,New York,105.1,0.488,0.143,0.268,20.7,107.5,0.49,0.119,0.265,20.3,2016,New York 2016,0.488,0.495,0.573,0.416,0.413,0.414,0.404,0.339,0.355,88.7,0.271,0.824,19.1,16.4,113.8,1.7,0.121,114.7,0.8,0.514,123.9,1.0,0.241,111.6,0.31,0.206,0.251,0.457,0.057,0.176,0.233
115,Sacramento,105.7,0.511,0.16,0.269,21.5,108.4,0.524,0.159,0.269,20.2,2016,Sacramento 2016,0.511,0.511,0.625,0.379,0.394,0.387,0.414,0.347,0.363,89.4,0.266,0.783,18.8,17.1,106.3,2.8,0.163,117.8,1.5,0.607,128.0,1.3,0.309,113.0,0.388,0.203,0.174,0.377,0.057,0.178,0.235
116,Milwaukee,104.9,0.503,0.16,0.275,20.8,108.7,0.513,0.162,0.298,22.4,2016,Milwaukee 2016,0.503,0.513,0.603,0.4,0.384,0.392,0.358,0.355,0.356,86.7,0.279,0.806,19.5,17.5,108.1,3.6,0.142,128.2,2.5,0.611,151.9,1.0,0.26,113.4,0.44,0.206,0.186,0.392,0.051,0.116,0.168
117,Denver,105.6,0.49,0.153,0.291,21.7,109.5,0.521,0.14,0.253,21.7,2016,Denver 2016,0.49,0.52,0.568,0.374,0.392,0.384,0.343,0.343,0.343,87.1,0.3,0.801,18.1,17.5,100.3,3.4,0.145,124.0,2.1,0.619,146.8,1.3,0.279,112.6,0.421,0.158,0.171,0.329,0.055,0.195,0.25
118,Minnesota,106.2,0.498,0.157,0.267,26.2,110.2,0.527,0.155,0.286,20.1,2016,Minnesota 2016,0.498,0.499,0.637,0.405,0.388,0.395,0.391,0.33,0.344,88.8,0.276,0.815,19.3,16.0,118.3,3.0,0.135,123.9,1.7,0.566,138.2,1.4,0.258,116.7,0.368,0.188,0.266,0.454,0.038,0.14,0.178
119,New Orleans,105.5,0.5,0.138,0.24,20.3,109.5,0.525,0.141,0.236,22.5,2016,New Orleans 2016,0.5,0.509,0.578,0.382,0.422,0.405,0.329,0.374,0.363,90.3,0.241,0.831,15.0,13.9,105.6,2.6,0.123,122.2,1.5,0.537,135.8,1.0,0.228,113.9,0.365,0.172,0.21,0.383,0.061,0.191,0.252
120,Phoenix,102.0,0.49,0.175,0.284,20.3,109.4,0.525,0.151,0.256,24.0,2016,Phoenix 2016,0.49,0.512,0.586,0.375,0.362,0.368,0.362,0.354,0.356,83.8,0.28,0.794,20.1,17.8,109.0,2.9,0.148,120.8,1.9,0.602,140.1,1.0,0.285,110.7,0.365,0.169,0.19,0.359,0.067,0.209,0.276
