Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,112.9,,96.9,,25.6%,,80.6%,,19.5,,16.8,,113.2
Atlanta,9,115.5,9,99.2,7,27.3%,9,79.8%,2,23.7,2,19.9,10,115.4
Boston,10,114.2,15,96.9,2,28.7%,18,80.8%,11,20.1,7,18.0,26,108.9
Brooklyn,1,119.4,1,104.8,16,25.2%,16,80.5%,14,19.5,21,16.1,6,118.1
Charlotte,22,111.0,21,94.7,10,26.6%,7,79.4%,22,18.0,12,17.2,29,102.0
Chicago,17,111.8,19,95.8,17,25.2%,26,82.3%,8,20.7,14,17.0,5,119.0
Cleveland,28,106.3,29,89.2,6,27.7%,17,80.8%,15,19.3,8,17.9,28,104.8
Dallas,8,116.2,4,102.2,24,24.2%,30,83.7%,25,17.6,26,15.0,11,114.7
Denver,5,118.0,8,100.8,5,27.7%,8,79.8%,5,22.2,4,18.9,17,113.8
Detroit,26,108.4,27,91.8,12,26.2%,20,81.2%,17,19.0,20,16.3,12,114.6
Golden State,21,111.1,10,98.4,30,21.8%,27,82.7%,30,15.1,30,13.3,22,111.4
Houston,27,107.7,25,93.0,26,23.6%,28,83.0%,28,16.6,27,14.5,19,113.0
Indiana,14,112.5,16,96.8,28,23.4%,14,80.5%,23,17.9,28,14.3,2,123.4
LA Clippers,4,118.6,2,103.5,11,26.6%,25,81.8%,12,20.0,15,16.9,7,116.3
LA Lakers,23,110.9,23,94.3,15,25.4%,13,80.3%,7,20.9,13,17.1,3,119.7
Memphis,16,112.3,26,92.4,3,28.0%,1,77.2%,3,23.2,3,19.5,9,115.5
Miami,19,111.8,12,97.5,29,22.8%,24,81.7%,29,15.9,29,13.7,14,114.4
Milwaukee,7,117.5,6,102.0,18,25.0%,3,78.2%,10,20.2,11,17.3,15,114.0
Minnesota,25,110.1,24,93.9,13,26.1%,10,79.9%,16,19.1,10,17.6,27,105.8
New Orleans,12,114.0,18,96.0,1,29.2%,4,78.8%,1,25.3,1,21.6,18,113.5
New York,24,110.7,22,94.5,14,26.1%,29,83.1%,18,18.8,17,16.4,20,111.8
Oklahoma City,30,103.9,28,89.9,20,24.7%,22,81.2%,27,16.9,19,16.3,30,100.6
Orlando,29,105.6,30,88.7,23,24.2%,11,80.2%,21,18.5,18,16.4,23,110.0
Philadelphia,13,113.7,14,97.1,8,27.0%,6,79.3%,6,21.7,6,18.4,13,114.4
Phoenix,6,117.7,3,102.7,25,23.9%,19,81.1%,13,19.7,25,15.1,1,127.2
Portland,2,119.1,7,101.8,9,27.0%,23,81.5%,4,22.9,5,18.7,4,119.3
Sacramento,11,114.2,11,98.3,22,24.3%,12,80.3%,20,18.5,16,16.5,24,109.5
San Antonio,18,111.8,13,97.2,27,23.4%,21,81.2%,26,17.5,23,15.7,25,109.2
Toronto,15,112.3,20,95.6,21,24.4%,5,79.3%,24,17.9,24,15.2,8,115.6
Utah,3,118.8,5,102.0,4,28.0%,15,80.5%,9,20.3,9,17.7,21,111.8
Washington,20,111.6,17,96.2,19,24.7%,2,78.0%,19,18.6,22,16.1,16,113.8